# Branch tips recorded 2026-03-26T18:21:14Z
# Recovery reference for Phase 4 branch cleanup
#
# Remote branches
e941e8433bc4317faf1f86f357c97be6058ea8a0 origin/develop
647fc5dd30c1616cb95ee4b0a21a04dce39690d8 origin/feat/api-improvements
e34e03768aad50eec5b5bee078e7aa7de99a9a4f origin/feat/helm-infra
801b067ebe6b4daf4fd5d8ce422cf7b1f2cac087 origin/feat/init-monorepo
29060757d00e471e0ecd6f614ae372b3a3eb9bd4 origin/feat/k8s-live-dashboard
8cafb32e6ae1a12a269a07f133344db2184e479f origin/feat/phase6-ia-redesign
fe690d2a6b7a65ab32e23242cdf0a6d5a833de23 origin/feat/ui-cluster-detail
0f1e350fcafac88920a851b6ac954a5193b45c1c origin/feat/ui-cluster-groups
bb47e51bbe162bb8bda725b784b018bcda646ce0 origin/feat/ui-clusters-page
7b2359c01f12fb32de21c74b3a01172f83f2d595 origin/feat/ui-events-page
ff8fbcb9c324dfc22a1d4d1c2493cfab401cbde2 origin/feat/ui-settings-page
b118b639a9bfe5ac2f86d9b8cb9a8c945525cce8 origin/fix/v117-phase-d-bugs
eaa87c69de31009340520dda23dc032aebcee14c origin/fix/v117-phase-d-r2
31173c607b7f1b54abb6810c9a6ea2af909b5efc origin/main
ad1a9e926ea7e0f67f891f933a19d2853b0701d3 origin/worktree/beni
d0033ac71803a6cce21d5b4342d79b85212e7485 origin/worktree/dima
a5513831b5c581f6b8f7587316135dc670cdfe90 origin/worktree/lior
03c1981ef4502aecfc120b5e57d0167dc954e907 origin/worktree/noam
b67ee6c472c2593932b95b1580b5b2e0e98ffd11 origin/worktree/ron
d3215cc1ce540c789b617e5e915a3e3018e40d98 origin/worktree/ron-approved-d3215cc
3337a33b04ed31f5fbb4e99648122568b5ecc4c1 origin/worktree/ron-approved-v100
32a69f48bf522cdc8f1bbbdd90135fa20b4ea493 origin/worktree/ron-approved-v98
a71b35bb3283bb37e66a4b484d5c61f912c8425e origin/worktree/ron-approved-v99
abb59e6be551beb4a01171a5e92cd42ca2614657 origin/worktree/ron-approved-v99-fix
5ba12743b3f647447170fbc6686f889e1fb8eead origin/worktree/shiri
b7dcc9f23997e4229e5226c9ed691538e2b2bc89 origin/worktree/uri
b67677b35c5a373d68d4d4337b6ba20174fa77f7 origin/worktree/yuval
#
# Local branches
31173c607b7f1b54abb6810c9a6ea2af909b5efc claude/objective-shockley
4ab500a1a44b041d6baee9932c97c6129fdff43d main
31173c607b7f1b54abb6810c9a6ea2af909b5efc worktree-agent-a1c82e92
